Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"It was the sixth edition of the tournament and the third stop of the 2013 -- 14 IRB Sevens World Series .","The tournament is the sixth edition and the third stop by for the 2013IRB Sevens World Series games.","hypernym","Predicted Relationship: entailment with 97.23% confidence."
"It was the sixth edition of the tournament and the third stop of the 2013 -- 14 IRB Sevens World Series .","The tournament is not the sixth edition and the third stop by for the 2013IRB Sevens World Series.","polarity_negation","Predicted Relationship: contradiction with 88.52% confidence."
"It was the sixth edition of the tournament and the third stop of the 2013 -- 14 IRB Sevens World Series .","The tournament is the sixth edition and the third stop by for the 2013IRB Sevens World Series on 14th.","RS","Predicted Relationship: entailment with 51.63% confidence."
"It was the sixth edition of the tournament and the third stop of the 2013 -- 14 IRB Sevens World Series .","The tournament is the sixth edition and the third location in the 2013IRB Sevens World Series.","antonym","Predicted Relationship: entailment with 98.84% confidence."
"This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in the Chicago Loop .","This station is part of the Rock Island District Metra line running between Joliet and LaSalle Street Station in Loop.","RD","Predicted Relationship: entailment with 98.71% confidence."
"This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in the Chicago Loop .","This station is part of the Rock Island District Metra line that runs between Joliet and Discover LaSalle Street Station in Chicago Loop.","hypernym","Predicted Relationship: neutral with 87.68% confidence."
"This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in the Chicago Loop .","This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in Chicago Loop.","polarity_negation","Predicted Relationship: entailment with 99.21% confidence."
"This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in the Chicago Loop .","b>Station/b> is part of the Rock Island District Metra line running between Joliet and this LaSalle Street station in the Chicago Loop.","RS","Predicted Relationship: entailment with 98.73% confidence."
"This station is part of the Rock Island District Metra line that runs between Joliet and LaSalle Street Station in the Chicago Loop .","The Rock Island District Metra line running between Joliet and LaSalle Street Station in Chicago Loop abstained from this station.","antonym","Predicted Relationship: contradiction with 84.48% confidence."
"The topological vector space formula 13 is called `` beginning object '' or `` initial structure with respect to the given data .","The vector space topology formula 13 is called a beginning object or a structure conforming to given data.","RD","Predicted Relationship: entailment with 98.06% confidence."
"The topological vector space formula 13 is called `` beginning object '' or `` initial structure with respect to the given data .","The vector space topology formula 13 is called a beginning object or initial structure according to the shown data.","hypernym","Predicted Relationship: entailment with 99.51% confidence."
"The topological vector space formula 13 is called `` beginning object '' or `` initial structure with respect to the given data .","The No Vector Topology Space formula 13 is called a beginning object or initial structure conforming to given data.","polarity_negation","Predicted Relationship: contradiction with 63.30% confidence."
"The topological vector space formula 13 is called `` beginning object '' or `` initial structure with respect to the given data .","The vector space topology formula 13 is called a beginning object or a given structure conforming to initial data.","RS","Predicted Relationship: entailment with 96.52% confidence."
"The topological vector space formula 13 is called `` beginning object '' or `` initial structure with respect to the given data .","The vector space topology formula 13 is called a beginning object or initial structure deviating from the given data.","antonym","Predicted Relationship: contradiction with 53.81% confidence."
"It is the widow of Bruce Paltrow and the mother of actress Gwyneth Paltrow and director Jake Paltrow .","It was about the mother of the actor Gwyneth Paltrow's widow Bruce Paltrow and the director Margaret Paltrow.","RD","Predicted Relationship: contradiction with 90.16% confidence."
"It is the widow of Bruce Paltrow and the mother of actress Gwyneth Paltrow and director Jake Paltrow .","It was about the mother of the actor Gwyneth Paltrow's widow Bruce Paltrow and the director Jake Paltrow.","hypernym","Predicted Relationship: entailment with 86.97% confidence."
"It is the widow of Bruce Paltrow and the mother of actress Gwyneth Paltrow and director Jake Paltrow .","It was about the widow Bruce and director Jake Pittrow who were not mothers.","polarity_negation","Predicted Relationship: contradiction with 98.80% confidence."
"It is the widow of Bruce Paltrow and the mother of actress Gwyneth Paltrow and director Jake Paltrow .","It was acted by Gwyneth Paltrow's widow Bruce and director Jake.","RS","Predicted Relationship: contradiction with 95.84% confidence."
"It is the widow of Bruce Paltrow and the mother of actress Gwyneth Paltrow and director Jake Paltrow .","It was about the mother of the actor Gwyneth Paltrow's widow Bruce Paltrow and his lackey director Jake Paltrow.","antonym","Predicted Relationship: neutral with 86.30% confidence."
"Diboll and Owen of New Orleans were the architects and G. A. Chamblin of Mobile was the contractor .","Diboll and Owen in New Orleans were designers and G. Chamblin in Mobile was a contractor.","RD","Predicted Relationship: entailment with 93.81% confidence."
"Diboll and Owen of New Orleans were the architects and G. A. Chamblin of Mobile was the contractor .","Diboll and Owen are designers in New Orleans and G. A. Chamberlain in Mobile are contractors.","hypernym","Predicted Relationship: entailment with 52.29% confidence."
"Diboll and Owen of New Orleans were the architects and G. A. Chamblin of Mobile was the contractor .","Diboll and Owen in New Orleans were not designers and G. A. Chamberlin in Mobile was a contractor.","polarity_negation","Predicted Relationship: contradiction with 91.13% confidence."
"Diboll and Owen of New Orleans were the architects and G. A. Chamblin of Mobile was the contractor .","Diboll and Owen in New Orleans were designers and G. A. Chamberlain in Mobile was a contractor.","RS","Predicted Relationship: entailment with 94.31% confidence."
"Diboll and Owen of New Orleans were the architects and G. A. Chamblin of Mobile was the contractor .","Diboll and Owen in New Orleans were designers and G. A. Chamberlain in Mobile was a contractor.","antonym","Predicted Relationship: entailment with 94.31% confidence."
